SUB_1,SUB_1 Lat,SUB_1 Long,SUB_2,SUB_2 Lat,SUB_2 Long,Shape__Length
UNKNOWN132716,,,GREGGS,,,15282.20915
UNKNOWN119528,,,TAP148885,,,23.78727033
MITCHELL,,,DAVIS,,,7261.581859
UNKNOWN125458,,,TAP139011,,,1138.575806
AFFINITY,,,CHERRY CREEK,,,15572.5245
UNKNOWN129453,,,TAP138577,,,6342.24645
TAP150459,,,TAP152792,,,2046.376018
UNKNOWN129370,,,UNKNOWN129372,,,163.5203587
UNKNOWN117672,,,UNKNOWN117690,,,8317.823359
UNKNOWN123763,,,RISER140201,,,1114.358365
BRANDFORD RR,,,TAP135912,,,683.7078293
UNKNOWN109098,,,TAP142772,,,21853.16602
UNKNOWN113876,,,EAST BROAD STREET,,,10187.68305
ONEIDA,,,HUNTSVILLE,,,13209.57123
TAP152049,,,EBENEZER,,,361.6024544
TAP137261,,,RISER137264,,,1044.028599
UNKNOWN109878,,,UNKNOWN111679,,,1809.452703
TAP143191,,,MIDTOWN,,,2451.983038
UNKNOWN122189,,,QUAD CITIES,,,4707.578806
UNKNOWN115133,,,GOUDCHAUX,,,1579.164213
CLIFFSIDE,,,SHELBY TIE,,,28082.44622
WHEELABRATOR HUDSON FALLS,,,TAP136039,,,939.2930371
UNKNOWN114247,,,UNKNOWN114652,,,25832.90654
PRATT'S,,,GORDONSVILLE,,,36954.94727
UNKNOWN133143,,,JAMESTOWN,,,328631.3202
UNKNOWN112758,,,CLINTON,,,12286.95795
UNKNOWN119474,,,UNKNOWN119679,,,10466.01974
UNKNOWN117348,,,UNKNOWN121601,,,26886.12285
AZCO,,,TAP153405,,,48928.09662
UNKNOWN116083,,,NORCROSS,,,4607.203767
TAP141869,,,TAP141870,,,47.24126798
CHICKAHOMINY,,,LANEXA,,,28970.79728
UNKNOWN113911,,,UNKNOWN113913,,,11104.62503
UNKNOWN116567,,,UNKNOWN153385,,,5220.834188
STURGEON POOL,,,NOT AVAILABLE,,,57.66693173
UNKNOWN122339,,,TAP147120,,,14949.78966
UNKNOWN120924,,,TAP148312,,,16048.13833
UNKNOWN113223,,,LAKEVIEW,,,30854.65614
CLOVERDALE 765KV,,,JACKSONS FERRY,,,131776.0063
TAP148492,,,TAP148667,,,4338.177451
UNKNOWN120039,,,TAP153057,,,1092.697127
WESTOVER,,,NOT AVAILABLE,,,144.2018132
CH RESOURCES BEAVER FALLS,,,NOT AVAILABLE,,,121.703197
ELFERS,,,SEVEN SPRINGS,,,4601.684247
PARR GT,,,DENNY TERRACE,,,42438.44683
GOODMAN ENERGY CENTER,,,NOT AVAILABLE,,,66.97191618
UNKNOWN114026,,,UNKNOWN114027,,,2920.923916
TAP151599,,,UNKNOWN151600,,,666.8241878
BYLLESBY 2,,,UNKNOWN117063,,,5740.272928
TAP145890,,,TAP145891,,,3388.496654
VALDOSTA,,,NOT AVAILABLE,,,375.5749159
UNKNOWN137984,,,TAP137985,,,24.42399493
METUCHEN,,,DEANS,,,35170.39395
UNKNOWN109270,,,TAP142687,,,1537.511824
UNKNOWN107921,,,UNKNOWN107928,,,12116.23521
TAP140647,,,SHAWVILLE STATION,,,75195.07527
UNKNOWN117424,,,UNKNOWN117462,,,8522.009364
UNKNOWN109879,,,TAP145618,,,219.031704
UNKNOWN109122,,,TAP142908,,,1269.53722
UNKNOWN111513,,,UNKNOWN116217,,,10336.90688
UNKNOWN129407,,,UNKNOWN129413,,,6393.277209
WILLEY BATTERY UTILITY,,,UNKNOWN113912,,,15606.22067
UNKNOWN117836,,,UNKNOWN122394,,,8419.419332
UNKNOWN111526,,,UNKNOWN116273,,,5071.450696
CENTRAL HARDIN,,,HARDIN,,,4496.932469
UNKNOWN128502,,,TAP138709,,,2341.368207
BETHLEHEM ENERGY CENTER,,,GREENBUSH,,,6817.196758
UNKNOWN121563,,,HARRISONBURG,,,8294.074613
UNKNOWN116541,,,TAP142613,,,2359.168087
UNKNOWN118849,,,TAP149185,,,94.31943549
UNKNOWN113373,,,TAP140122,,,3216.539839
UNKNOWN128338,,,DETROIT EDISON KING ROAD,,,5042.229311
UNKNOWN113394,,,TAP154443,,,5349.053863
UNKNOWN109369,,,LEAKE,,,31309.09496
TAP143137,,,TAP154552,,,13164.92972
UNKNOWN120649,,,BEACH HAVEN,,,7685.330468
ARVAH B HOPKINS,,,UNKNOWN120743,,,4107.41131
UNKNOWN124811,,,TAP155488,,,29577.80561
UNKNOWN152413,,,TAP152424,,,2267.354896
DUBUQUE,,,TAP137916,,,4741.738828
TAP140669,,,TAP140672,,,3015.010274
CHESTERFIELD,,,TAP147873,,,11117.83667
CANTON STREET,,,SUMMER STREET,,,1981.457509
REUSENS,,,GOMINGO,,,13622.73571
UNKNOWN113522,,,NOT AVAILABLE,,,623.8503473
TAP140243,,,TAP140256,,,2495.464284
UNKNOWN119876,,,TAP148791,,,41178.70541
JOHNSONVILLE,,,TAP152198,,,8421.416425
FRAMINGHAM,,,NOT AVAILABLE,,,155.2113691
PONCA CITY,,,NOT AVAILABLE,,,54.86220706
UNKNOWN134879,,,UNKNOWN134894,,,16892.32511
GREENTOWN,,,GREENTOWN,,,733.5293489
UNKNOWN124430,,,TAP138216,,,10888.80704
EL RENO,,,TAP149226,,,10213.64871
ONETA,,,TAP149296,,,22948.16352
UNKNOWN113865,,,TAP152441,,,767.044138
UNKNOWN124476,,,UNKNOWN124479,,,2748.280025
TAP144703,,,SANTEETLAH,,,8233.068288
TAP147210,,,CUMBERLAND,,,20554.55249
UNKNOWN109998,,,TAP143432,,,33.61786957
UNKNOWN109557,,,TAP145896,,,24044.57572
BISMARCK,,,GLENHAM,,,221248.0166
KEAN MTN AND GRASSY CREEK,,,BUCHANAN GENERATION LLC,,,5547.754066
LIME KILN,,,MCCAIN,,,8833.704728
LIME,,,TAP154556,,,1919.675434
ARKOMA,,,FORT SMITH,,,9179.458215
SOLLERS WARF,,,UNKNOWN123295,,,2892.740817
TAP143808,,,TAP143810,,,27494.13676
UNKNOWN121354,,,TAP137781,,,2621.564112
TAP137614,,,TAP137616,,,2590.944708
UNKNOWN111308,,,SHELBY TIE,,,4007.324505
UNKNOWN122309,,,PLEASANT HILL,,,17521.27005
BEAVER VALLEY,,,HANNA,,,127919.348
TAP150359,,,UNKNOWN150360,,,380.8536558
UNKNOWN110335,,,TAP155365,,,2203.423537
UNKNOWN115690,,,UNKNOWN115691,,,8653.327168
UNKNOWN116101,,,WINDER,,,12908.28743
UNKNOWN114671,,,TAP154199,,,80.46573087
SOUTHEAST GREENE,,,BENNDALE 230,,,37972.08315
UNKNOWN109184,,,TAP146087,,,2083.387954
UNKNOWN127611,,,PLATTSBURGH,,,9570.543949
UNKNOWN111550,,,TAP142586,,,711.200164
UNKNOWN107949,,,UNKNOWN116942,,,20961.04259
UNKNOWN114962,,,TAP154401,,,61.78545693
UNKNOWN117294,,,UNKNOWN117295,,,9138.88616
UNKNOWN124896,,,TAP137562,,,439.0726435
FORT MYERS SWITCHYARD,,,ALVA,,,20127.08463
UNKNOWN119065,,,NORTHWEST,,,8767.901779
PENMAN,,,NEPTUNE,,,3527.399615
UNKNOWN131674,,,TAP148621,,,382.2553106
TERMINAL,,,UNKNOWN113672,,,8668.817047
BUD CROCKETT DRIVE,,,TAP154856,,,6872.353138
LOCKPORT,,,HINMAN,,,303.9402203
UNKNOWN117485,,,UNKNOWN117677,,,8638.470518
TAP152697,,,UNKNOWN152698,,,838.278727
TAP140316,,,TAP141229,,,6061.621679
UNKNOWN109731,,,UNKNOWN109732,,,915.1854067
UNKNOWN120826,,,TAP142267,,,23.35796495
UNKNOWN116157,,,TAP142214,,,867.4345149
UNKNOWN146848,,,TAP146849,,,64.58357617
BURCHES HILL,,,PALMERS CORNER,,,13272.71453
ROCKDALE,,,KEGONSA,,,20888.77986
PLANT GASTON,,,LEEDS,,,40067.04895
UNKNOWN114818,,,ATHENS,,,4839.513745
TAP150465,,,NORTH GREENVILLE TIE,,,3563.168691
TAP145679,,,KEYSTONE,,,21784.34531
UNKNOWN131389,,,TAP136169,,,654.8863538
UNKNOWN115107,,,RURITAN,,,1521.284427
TAP152600,,,TAP152601,,,81.01901846
UNKNOWN117997,,,UNKNOWN117998,,,38526.25188
UNKNOWN121940,,,UNKNOWN124710,,,26693.47196
TAP135388,,,AUBURN STREET,,,9823.453697
CHAMOIS,,,UNKNOWN117918,,,25014.84134
TAP149399,,,TAP149405,,,23445.7465
LAKIN MUNICIPAL,,,NOT AVAILABLE,,,72.80498405
UNKNOWN113830,,,UNKNOWN114975,,,17042.8033
MILLHOPPER,,,MCMICHEN,,,9354.231276
UNKNOWN123161,,,ROBISON PARK (345 KV),,,12394.76299
TAP143412,,,TAP143413,,,3788.461428
UNKNOWN119692,,,TAP148914,,,256.1358869
UNKNOWN112316,,,TAP150119,,,2376.20617
COLLIER,,,TAP153226,,,5607.52055
UNKNOWN114435,,,TAP142965,,,33309.57498
MCLEAN WIND FARM STEP-UP TRANSFORMER,,,NOT AVAILABLE,,,340.1146996
UNKNOWN125347,,,TAP139828,,,71.22520928
UNKNOWN121938,,,TAP136957,,,107.7131506
TAP152126,,,TAP152127,,,12097.59792
UNKNOWN134352,,,TAP134359,,,3172.632293
UNKNOWN108985,,,UNKNOWN122613,,,59626.90362
JETERSVILLE,,,TAP148046,,,15550.53162
UNKNOWN117715,,,TAP140526,,,24123.38678
UNKNOWN122330,,,TAP146636,,,934.4617657
UNKNOWN116277,,,UNKNOWN116279,,,13353.49496
UNKNOWN132302,,,UNKNOWN132605,,,41828.25616
UNKNOWN120325,,,WALSINGHAM,,,5857.654226
UNKNOWN149836,,,WILLOW GLEN (500KV),,,9968.177075
TAP143819,,,TUSCALOOSA T.S.,,,5648.210234
ROXFORD,,,TAP139481,,,23331.6078
UNKNOWN109339,,,TAP146059,,,48361.74997
UNKNOWN121396,,,NOT AVAILABLE,,,554.4500459
LEXINGTON,,,TAP147650,,,9833.729091
TAP144814,,,TAP144815,,,7363.341102
WAUGH CHAPEL,,,HIGH RIDGE,,,34709.58179
UNION POWER STATION,,,EL DORADO SUBSTATION,,,1200.254902
NORRIS,,,SCOTTSMOOR,,,22287.96263
TAP154197,,,TAP154201,,,2937.396618
HOWARD DOWN,,,NOT AVAILABLE,,,97.74156351
UNKNOWN120952,,,UNKNOWN120953,,,3905.571333
UNKNOWN108560,,,BABCOCK,,,17186.62634
FIRSTENERGY RIVESVILLE,,,NOT AVAILABLE,,,177.9444144
BAILEYSVILLE,,,UNKNOWN108915,,,20219.48114
STUART SUBSTATION,,,FIELDALE,,,38519.54038
UNKNOWN111415,,,TAP148220,,,12931.97817
UNKNOWN113005,,,UNKNOWN113010,,,1756.760774
UNKNOWN115721,,,UNKNOWN115722,,,2034.046109
TAP154027,,,TAP154028,,,5381.604994
TAP137555,,,TAP137559,,,12335.68852
UNKNOWN118411,,,UNKNOWN119163,,,3177.023764
UNKNOWN123591,,,TAP141324,,,432.4671102
CHESTERFIELD AVE,,,UNKNOWN108951,,,8482.935663
UNKNOWN117761,,,UNKNOWN117888,,,8768.166062
UNKNOWN114642,,,TAP154203,,,612.0610888
UNKNOWN115366,,,TAP154450,,,42.69303697
UNKNOWN124038,,,TAP155286,,,3238.648981
DUNN RD,,,MICHIGAN ST,,,9882.681848
UNKNOWN111937,,,TAP146978,,,1386.800991
RUSSELLVILLE EAST,,,UNKNOWN117229,,,12513.48647
UNKNOWN111739,,,UNKNOWN111740,,,44084.11811
UNKNOWN118355,,,TAP148917,,,296.9137856
UNKNOWN113345,,,UNKNOWN113692,,,2071.940218
TAP148830,,,RUDY,,,9136.800157
UNKNOWN109036,,,UNKNOWN109198,,,36304.94579
UNKNOWN131221,,,TAP138632,,,1863.108241
BLUE LAKE,,,NOT AVAILABLE,,,165.908144
NORTHEASTERN,,,TAP149290,,,28574.87832
BLACK CREEK,,,SPRINGBANK,,,22352.6644
TAP139648,,,ST. CLOUD,,,12112.71595
TAP148785,,,TAP148844,,,20697.80696
ACME,,,UNKNOWN135181,,,23539.18492
TAP147353,,,TAP147354,,,7917.073158
UNKNOWN118850,,,TAP149203,,,5660.86814
UNKNOWN120271,,,STANTON,,,17850.75493
COUNCE,,,PICKWICK LANDING DAM,,,4180.005927
UNKNOWN118249,,,ROSE HILL,,,17005.87659
WILLEY BATTERY UTILITY,,,UNKNOWN113754,,,17473.86233
UNKNOWN131861,,,UNKNOWN131862,,,71611.82165
UNKNOWN111556,,,UNKNOWN116335,,,8899.62605
TAP143011,,,TAP143012,,,73.26850346
UNKNOWN110968,,,TAP152528,,,38.07162484
TAP139390,,,NOTTINGHAM,,,15123.93698
TAP149571,,,UNKNOWN149578,,,8044.964889
TAP145602,,,TAP154507,,,900.5680691
TAP150934,,,TAP150935,,,2047.764197
STURGEON POOL,,,HIGH FALLS,,,12280.80435
TAP148982,,,TAP148984,,,448.6346793
UNKNOWN123666,,,TAP146494,,,15533.80121
UNKNOWN111384,,,TAP148224,,,64.02913605
TAP151050,,,BELTON,,,6315.690913
UNKNOWN108012,,,TYLER,,,2758.755192
UNKNOWN116932,,,UNKNOWN116933,,,9328.264515
UNKNOWN119299,,,TAP149728,,,14266.25231
UNKNOWN118014,,,UNKNOWN118248,,,7984.884281
UNKNOWN108336,,,CHAPMAN,,,7205.885249
FIRSTENERGY EDGEWATER,,,FIRSTENERGY WEST LORAIN,,,10722.59951
TAP136267,,,EDGAR,,,2142.513131
DOOMS,,,VALLEY,,,36437.01161
TAP152146,,,TAP152147,,,7981.259892
TAP142479,,,TAP142486,,,4637.169806
UNKNOWN118548,,,UNKNOWN119413,,,4668.776661
UNKNOWN109028,,,TAP143017,,,2365.59929
UNKNOWN131266,,,UNKNOWN131267,,,63680.09181
GE ALACHUA,,,TAP151115,,,13586.23732
N. HAVEN,,,TAP149912,,,3822.759877
UNKNOWN116106,,,UNKNOWN116176,,,2122.680475
WEST BOYLSTON,,,WACHUSETT,,,1730.415293
UNKNOWN111534,,,BOULEVARD,,,5200.825465
TAP142184,,,OSTEEN,,,17947.90435
COMMONWEALTH CHESAPEAKE,,,NOT AVAILABLE,,,117.5095836
SHAW,,,UNKNOWN152936,,,6445.680168
UNKNOWN114588,,,TAP154126,,,442.8863163
UNKNOWN121762,,,TAP137347,,,1093.867282
UNKNOWN115072,,,UNKNOWN115074,,,7518.800332
UNKNOWN109117,,,PINCKARD,,,99829.6398
UNKNOWN110660,,,TAP142912,,,7561.329597
LOMBARD,,,COMMONWEALTH EDISON DES PLAINES (345KV),,,37166.99302
UNKNOWN121272,,,RODBURN,,,18865.93069
UNKNOWN128223,,,RISER139375,,,154.2724568
TIPPY DAM,,,TAP144737,,,29712.65316
SOUTHWOOD,,,PEBBLE HILL,,,6178.704381
UNKNOWN114572,,,UNKNOWN114689,,,18162.96654
UNKNOWN120121,,,PERRY,,,4456.364573
UNKNOWN123189,,,HOLLOFIELD,,,4075.249459
LAFAYATTE CONCORD ROAD,,,TAP138285,,,2736.196273
UNKNOWN123440,,,TAP141130,,,1071.285079
TAP152141,,,BATTLEFIELD,,,5262.351747
KICKAPOO,,,UNKNOWN117675,,,3358.090443
CANADYS,,,YEMASSEE,,,58170.29471
HENRY CO,,,DENMARK,,,29447.03401
BROOK STREET,,,CARVER,,,10545.52919
UNKNOWN110152,,,TAP145800,,,25.44955107
UNKNOWN130796,,,TAP135309,,,41.28267506
UNKNOWN129728,,,BADOURA 115/34 KV,,,49515.43846
UNKNOWN116422,,,NEWPORT,,,2898.241905
UNKNOWN113537,,,TAP142084,,,5555.274467
VERMILLION ENERGY FACILITY,,,EUGENE,,,6701.477334
UNKNOWN110086,,,TAP142158,,,5283.520386
LITTLE FALLS HYDRO,,,NOT AVAILABLE,,,43.975909
UNKNOWN122489,,,TAP139477,,,1503.73536
COVANTA HENNEPIN ENERGY,,,NOT AVAILABLE,,,186.7082229
TAP154923,,,TAP154925,,,72.49601651
UNKNOWN122684,,,TAP153695,,,5448.749172
BRANDY BRANCH,,,NORMANDY,,,16717.47495
UNKNOWN136781,,,UNKNOWN136783,,,20960.42928
UNKNOWN108277,,,UNKNOWN108732,,,3982.90994
LINCOLN AVENUE,,,TAP140933,,,150.2880902
UNKNOWN118255,,,UNKNOWN118256,,,49662.47484
DAVISVILLE,,,TAP140931,,,5513.986697
UNKNOWN129079,,,TAP151843,,,7107.486364
TAP141890,,,TAP141891,,,1217.027587
UNKNOWN122632,,,COMMERCE PARK,,,31569.29809
TAP151310,,,TAP151311,,,25.43970025
UNKNOWN125269,,,TAP141156,,,2568.134493
TAP135977,,,WILLIS,,,19583.34653
CEDAR CREEK,,,FORDS BRANCH,,,9970.858118
WIDOWS CREEK,,,UNKNOWN177137,,,5165.830337
CHESTERFIELD,,,NATIONAL WELDERS IND,,,15278.97417
SOUTHWEST,,,BROOKLINE,,,3641.997654
TAP151514,,,TAP151516,,,133.009205
NATIONAL,,,FREEMAN,,,32626.40842
ASTORIA ENERGY II,,,NOT AVAILABLE,,,326.3269457
TAP155215,,,ROCKY HILL SUIBSTATION,,,2270.833189
SANDPIPER,,,TURNPIKE,,,10896.20035
NATIONAL,,,TILDEN,,,9030.897652
UNKNOWN108405,,,BOGGY MARSH,,,19908.23248
REPUBLIC STEEL,,,WAGENHALS,,,1494.656054
UNKNOWN124121,,,SARANAC FACILITY,,,1821.069247
TAFT,,,MAGNOLIA RANCH NORTH,,,19795.92639
UNKNOWN109802,,,TAP143410,,,75.11010157
UNKNOWN124767,,,TAP138308,,,26206.12979
TAP139157,,,PUMPHREY,,,4611.407348
UNKNOWN133738,,,TAP134573,,,117314.5531
UNKNOWN114543,,,UNKNOWN114544,,,8462.127893
UNKNOWN120324,,,UNKNOWN151378,,,26515.99407
UNKNOWN123250,,,TAP139368,,,9640.648253
UNKNOWN114937,,,TAP149929,,,573.4245708
KIMBERLY CLARK MOBILE - CHP PLANT,,,NOT AVAILABLE,,,102.9145367
TAP141184,,,TAP141189,,,8129.215596
TAP138164,,,SAND RIDGE,,,64.76386681
UNKNOWN129607,,,TAP138575,,,15018.98672
MARSHALLTOWN,,,NOT AVAILABLE,,,519.461237
UNKNOWN109653,,,UNKNOWN109970,,,29310.5928
TAP153131,,,DOUGLAS DAM,,,10802.68177
4 AC STATION,,,NOT AVAILABLE,,,109.8987165
MAGLEY SUBSTATION,,,TAP141267,,,28574.70075
UNKNOWN120898,,,TAP150391,,,9651.401609
MOSS LAKE,,,TAP149908,,,4868.361776
UNKNOWN112536,,,UNKNOWN112537,,,281.066483
UNKNOWN114340,,,TAP154189,,,2260.516102
HENNEPIN,,,TAP137722,,,6332.012316
TAP140141,,,CABOT,,,10636.44654
UNKNOWN133479,,,UNKNOWN140788,,,1792.405453
UNKNOWN124521,,,UNKNOWN124522,,,312.1275695
LAWTON EAST SIDE,,,COMANCHE,,,10327.42142
UNKNOWN129810,,,UNKNOWN131333,,,27379.16159
UNKNOWN120873,,,TAP140527,,,39.158412
KAW,,,NOT AVAILABLE,,,104.0906328
UNKNOWN129602,,,WESTGATE,,,17083.85345
TAP136228,,,WATERS RIVER,,,79.52341556
UNKNOWN110999,,,UNKNOWN115091,,,19626.61542
UNKNOWN118073,,,UNKNOWN119036,,,3219.788921
IRONWOOD WIND,,,CLARK COUNTY,,,68122.40866
TAP137156,,,NELSON,,,22831.73774
SMITHFIELD,,,UNKNOWN135711,,,10149.95125
UNKNOWN110585,,,BEAVER CREEK,,,1654.947709
UNKNOWN116673,,,TAP154643,,,18.11072145
NORTH BARTOW,,,SOUTH ELOISE,,,22371.3384
UNKNOWN114226,,,TAP151337,,,17593.41376
UNKNOWN129703,,,TAP139655,,,64.0697405
UNKNOWN124543,,,ROCKVILLE,,,9443.604165
WEST RUN,,,COLLINS FERRY,,,1848.460617
GRANITE CITY,,,TAP139650,,,2392.831308
TAP137518,,,TAP139906,,,13413.88386
UNKNOWN113465,,,UNKNOWN113466,,,5604.809343
UNKNOWN124367,,,TAP140384,,,12340.08505
TAP136300,,,CHARTLEY POND,,,7404.654413
UNKNOWN110973,,,TAP152528,,,6278.934996
UNKNOWN121301,,,UNKNOWN121415,,,13318.13017
NASHVILLE,,,TAP149973,,,4539.119054
UNKNOWN128985,,,TAP140280,,,2615.908737
UNKNOWN122593,,,DEADEND167130,,,4015.965014
TAP150452,,,TAP151110,,,8186.623923
UNKNOWN110816,,,MITCHELL RIVER,,,10770.79188
TAP145701,,,TAP145725,,,263.5116256
TAP145656,,,JACKSON,,,5780.371679
SHELBY,,,TAP154789,,,6329.735924
REGIS,,,BUNNELL,,,7899.443425
UNKNOWN125190,,,UNKNOWN125191,,,9141.977973
DESOTO NEXT GENERATION SOLAR ENERGY,,,WHIDDEN,,,12722.22547
UNKNOWN122066,,,UNKNOWN122868,,,2758.217287
QUOGUE,,,SUFFOLKAIRE,,,5954.39949
UNKNOWN130222,,,TAP137291,,,5408.293552
UNKNOWN151962,,,BERKLEY ROAD,,,7213.58666
DANIEL STATION,,,NOT AVAILABLE,,,232.1836194
UNKNOWN122047,,,TAP139424,,,6688.29544
UNKNOWN137080,,,TAP137082,,,17973.80805
UNKNOWN129048,,,UNKNOWN129049,,,1151.566139
UNKNOWN112436,,,COLY,,,215.2692121
TAP136310,,,PAWTUCKET,,,2473.195879
EMPORIA,,,TAP148229,,,4310.580685
UNKNOWN108406,,,MILL CREEK,,,11650.63058
UNKNOWN116203,,,TAP142454,,,8219.452162
TAP142116,,,BRICKYARD,,,48.46082256
