"Project #","Request Status","Queue Date","Withdrawn Date","Done Date","Appl In Service Date","Transmission Owner","County","State","Study Cycle","Study Group","Study Phase","Service Type","POI Name","Summer MW","Winter MW","Fuel","Generating Facility","Post GIA Status","Negotiated In Service Date","Decision Point 1 ERIS MW","Decision Point 1 NRIS MW","Decision Point 2 ERIS MW","Decision Point 2 NRIS MW"
"J1000","Done","2018-03-12T04:00:00+00:00","","2021-04-02T04:00:00+00:00","2021-10-01T04:00:00+00:00","American Transmission Co. LLC","Grant County","WI","DPP-2018-APR","East (ATC)","GIA","Network Resource Interconnection Service (NRIS)","Nelson Dewey - Lancaster 138kV Line","50","50","Solar","Photovoltaic","In Service","2023-03-27T04:00:00+00:00","50","50","50","50"
"J1001","Withdrawn","2018-03-12T04:00:00+00:00","2021-03-09T05:00:00+00:00","","2020-09-01T04:00:00+00:00","NORTHERN STATES POWER COMPANY","Lincoln County","MN","DPP-2018-APR","West","GIA","Network Resource Interconnection Service (NRIS)","Buffalo Ridge 115kV Substation","40","40","Solar","Photovoltaic","Not Started","","40","40","0","0"
"J1002","Done","2018-03-12T04:00:00+00:00","","2021-05-05T04:00:00+00:00","2021-10-01T04:00:00+00:00","American Transmission Co. LLC","Waushara County","WI","DPP-2018-APR","East (ATC)","GIA","Network Resource Interconnection Service (NRIS)","Wautoma 138kV Switchyard","99","99","Solar","Photovoltaic","In Service","2023-01-26T05:00:00+00:00","99","99","99","99"
"J1003","Done","2018-03-12T04:00:00+00:00","","2021-05-05T04:00:00+00:00","2021-10-01T04:00:00+00:00","American Transmission Co. LLC","Dodge County","WI","DPP-2018-APR","East (ATC)","GIA","Network Resource Interconnection Service (NRIS)","North Beaver Dam 69 kV Substation","50","50","Solar","Photovoltaic","In Service","2023-06-06T04:00:00+00:00","50","50","50","50"
"J1004","Withdrawn","2018-03-12T04:00:00+00:00","2018-11-01T04:00:00+00:00","","2020-09-01T04:00:00+00:00","METC","Mecosta County,Montcalm County","MI","DPP-2018-APR","East (ITC)","GIA","Network Resource Interconnection Service (NRIS)","Kenowa - Nelson Road 345kV Line Tap","800","800","Wind","Wind Turbine","Not Started","","0","0","0","0"
"J1005","Withdrawn","2018-03-12T04:00:00+00:00","2020-06-30T04:00:00+00:00","","2021-09-01T04:00:00+00:00","METC","Midland County,Saginaw County","MI","DPP-2018-APR","East (ITC)","GIA","Network Resource Interconnection Service (NRIS)","Murphy 345kV Substation","200","200","Solar","Photovoltaic","Not Started","","200","200","0","0"
"J1006","Withdrawn","2018-03-12T04:00:00+00:00","2020-03-25T04:00:00+00:00","","2020-09-01T04:00:00+00:00","NORTHERN STATES POWER COMPANY","Brookings County","SD","DPP-2018-APR","West","GIA","Network Resource Interconnection Service (NRIS)","Brookings - Yankee 115kV Line Tap","100","100","Solar","Photovoltaic","Not Started","","0","0","0","0"
"J1007","Done","2018-03-12T04:00:00+00:00","","2020-08-12T04:00:00+00:00","2021-09-01T04:00:00+00:00","ENTERGY ARKANSAS, LLC","Crittenden County","AR","DPP-2018-APR","South","GIA","Network Resource Interconnection Service (NRIS)","Marion - Marked Tree 161kV Line Tap","200","200","Solar","Photovoltaic","Under Construction","2023-06-01T04:00:00+00:00","200","200","180","180"
"J1008","Withdrawn","2018-03-12T04:00:00+00:00","2020-03-25T04:00:00+00:00","","2020-09-01T04:00:00+00:00","ITC MIDWEST","Faribault County","MN","DPP-2018-APR","West","GIA","Network Resource Interconnection Service (NRIS)","Blue Earth IPL - Blue Earth 69kV Line Tap","50","50","Solar","Photovoltaic","Not Started","","0","0","0","0"
"J1009","Withdrawn","2018-03-12T04:00:00+00:00","2020-05-19T04:00:00+00:00","","2020-09-01T04:00:00+00:00","American Transmission Co. LLC","Kenosha County,Racine County","WI","DPP-2018-APR","East (ATC)","GIA","Network Resource Interconnection Service (NRIS)","Pleasant Prairie - Racine 345kV Line Tap","400","400","Solar","Photovoltaic","Not Started","","400","400","0","0"
"J1010","Withdrawn","2018-03-12T04:00:00+00:00","2020-05-19T04:00:00+00:00","","2020-09-01T04:00:00+00:00","American Transmission Co. LLC","Kenosha County,Racine County","WI","DPP-2018-APR","East (ATC)","GIA","Network Resource Interconnection Service (NRIS)","Arcadian - Zion 345kV Line Tap","400","400","Solar","Photovoltaic","Not Started","","400","400","0","0"
"J1011","Withdrawn","2018-03-12T04:00:00+00:00","2020-05-19T04:00:00+00:00","","2022-09-01T04:00:00+00:00","American Transmission Co. LLC","Kenosha County,Racine County","WI","DPP-2018-APR","East (ATC)","GIA","Network Resource Interconnection Service (NRIS)","Arcadian - Zion 345kV Line Tap","400","400","Solar","Photovoltaic","Not Started","","400","400","0","0"
"J1012","Withdrawn","2018-03-12T04:00:00+00:00","2019-03-28T04:00:00+00:00","","2021-09-01T04:00:00+00:00","PRAIRIE POWER, INC.","Scott County","IL","DPP-2018-APR","Central","GIA","Network Resource Interconnection Service (NRIS)","Jacksonville Ind. Park - Winchester 138kV Line Tap","100","100","Solar","Photovoltaic","Not Started","","0","0","0","0"
"J1013","Withdrawn","2018-03-12T04:00:00+00:00","2019-12-02T05:00:00+00:00","","2021-09-01T04:00:00+00:00","METC","Branch County","MI","DPP-2018-APR","East (ITC)","GIA","Network Resource Interconnection Service (NRIS)","Batavia 138kV Substation","80","80","Solar","Photovoltaic","Not Started","","0","0","0","0"
"J1014","Withdrawn","2018-03-12T04:00:00+00:00","2019-12-02T05:00:00+00:00","","2021-09-01T04:00:00+00:00","METC","Jackson County","MI","DPP-2018-APR","East (ITC)","GIA","Network Resource Interconnection Service (NRIS)","Tompkins - Blackstone 138kV Line","80","80","Solar","Photovoltaic","Not Started","","0","0","0","0"
"J1015","Withdrawn","2018-03-12T04:00:00+00:00","2019-03-27T04:00:00+00:00","","2020-09-01T04:00:00+00:00","METC","Otsego County","MI","DPP-2018-APR","East (ITC)","GIA","Network Resource Interconnection Service (NRIS)","Gaylord 138kV Substation","80","80","Solar","Photovoltaic","Not Started","","0","0","0","0"
"J1016","Withdrawn","2018-03-12T04:00:00+00:00","2020-01-06T05:00:00+00:00","","2021-09-01T04:00:00+00:00","Southern Indiana Gas & Electric Company d/b/a Vectren Energy Delivery of Indiana, Inc.","Gibson County","IN","DPP-2018-APR","Central","GIA","Network Resource Interconnection Service (NRIS)","Francisco - Toyota Z75 138kV Line Tap","50","50","Solar","Photovoltaic","Not Started","","0","0","0","0"
"J1017","Withdrawn","2018-03-12T04:00:00+00:00","2018-10-03T04:00:00+00:00","","2021-09-01T04:00:00+00:00","Duke Energy","Carroll County,White County","IN","DPP-2018-APR","Central","GIA","Network Resource Interconnection Service (NRIS)","Springboro 138 kV Substation","125","125","Wind","Wind Turbine","Not Started","","0","0","0","0"
"J1018","Withdrawn","2018-03-12T04:00:00+00:00","2018-10-03T04:00:00+00:00","","2021-09-01T04:00:00+00:00","Duke Energy","Miami County","IN","DPP-2018-APR","Central","GIA","Network Resource Interconnection Service (NRIS)","Peru South East - Greentown 230 kV Line Tap","150","150","Wind","Wind Turbine","Not Started","","0","0","0","0"
"J1019","Withdrawn","2018-03-12T04:00:00+00:00","2018-10-03T04:00:00+00:00","","2021-09-01T04:00:00+00:00","Ameren Missouri","Boone County","MO","DPP-2018-APR","Central","GIA","Network Resource Interconnection Service (NRIS)","Overton - McCredie 345 kV Line Tap","150","150","Wind","Wind Turbine","Not Started","","0","0","0","0"
"J1020","Withdrawn","2018-03-12T04:00:00+00:00","2020-01-24T05:00:00+00:00","","2022-09-01T04:00:00+00:00","COOPERATIVE ENERGY","Jasper County","MS","DPP-2018-APR","South","GIA","Network Resource Interconnection Service (NRIS)","Missionary 230kV Substation","250","250","Solar","Photovoltaic","Not Started","","250","250","0","0"
"J1021","Withdrawn","2018-03-12T04:00:00+00:00","2020-01-02T05:00:00+00:00","","2021-09-01T04:00:00+00:00","AMEREN ILLINOIS","Piatt County","IL","DPP-2018-APR","Central","GIA","Network Resource Interconnection Service (NRIS)","Goose Creek 345kV Switchyard","200","200","Wind","Wind Turbine","Not Started","","0","0","0","0"
"J1022","Done","2018-03-12T04:00:00+00:00","","2021-10-12T04:00:00+00:00","2021-08-01T04:00:00+00:00","AMEREN ILLINOIS","McLean County","IL","DPP-2018-APR","Central","GIA","Energy Resource Interconnection Service (ERIS)","Weedman Substation 138kV Bus","150","150","Wind","Wind Turbine","In Service","2022-05-27T04:00:00+00:00","150","150","150","0"
"J1023","Withdrawn","2018-03-12T04:00:00+00:00","2019-08-29T04:00:00+00:00","","2021-07-31T04:00:00+00:00","ENTERGY ARKANSAS, LLC","Mississippi County","AR","DPP-2018-APR","South","GIA","Network Resource Interconnection Service (NRIS)","Osceola - Wilson 161 kV Line Tap","82","82","Solar","Photovoltaic","Not Started","","0","0","0","0"
"J1024","Withdrawn","2018-03-12T04:00:00+00:00","2021-03-09T05:00:00+00:00","","2022-09-30T04:00:00+00:00","MIDAMERICAN ENERGY COMPANY","Nodaway County","MO","DPP-2018-APR","West","GIA","Network Resource Interconnection Service (NRIS)","Maryville - Clarinda 161 kV Line Tap","200","200","Wind","Wind Turbine","Not Started","","200","200","0","0"
"J1025","Done","2018-03-12T04:00:00+00:00","","2022-04-04T04:00:00+00:00","2023-04-01T04:00:00+00:00","AMEREN TRANSMISSION COMPANY OF ILLINOIS","Knox County","MO","DPP-2018-APR","Central","GIA","Network Resource Interconnection Service (NRIS)","Zachary - Maywood 345 kV Line Tap","300","300","Wind","Wind Turbine","Not Started","2025-06-01T04:00:00+00:00","300","300","290","290"
"J1026","Done","2018-03-12T04:00:00+00:00","","2022-04-01T04:00:00+00:00","2020-09-30T04:00:00+00:00","Ameren Missouri","Audrain County,Ralls County","MO","DPP-2018-APR","Central","GIA","Network Resource Interconnection Service (NRIS)","Spencer Creek 345 kV Substation","400","400","Wind","Wind Turbine","Not Started","2023-06-01T04:00:00+00:00","400","350","380","265"
"J1027","Done","2018-03-12T04:00:00+00:00","","","2021-01-02T05:00:00+00:00","HOOSIER ENERGY","Pike County","IN","DPP-2018-APR","Central","GIA","Network Resource Interconnection Service (NRIS)","Ratts 161 kV Substation","150","150","Solar","Photovoltaic","Not Started","2022-11-15T05:00:00+00:00","150","150","150","150"
"J1028","Done","2018-03-12T04:00:00+00:00","","","2021-01-02T05:00:00+00:00","HOOSIER ENERGY","Pike County","IN","DPP-2018-APR","Central","GIA","Network Resource Interconnection Service (NRIS)","Ratts - Victory 161 kV Line Tap","150","150","Solar","Photovoltaic","Not Started","2022-06-01T04:00:00+00:00","150","150","150","150"
"J1029","Withdrawn","2018-03-12T04:00:00+00:00","2019-03-13T04:00:00+00:00","","2020-09-28T04:00:00+00:00","ENTERGY LOUISIANA, LLC","East Feliciana Parish","LA","DPP-2018-APR","South","GIA","Network Resource Interconnection Service (NRIS)","Fancy Point 230 kV Substation","200","200","Solar","Photovoltaic","Not Started","","0","0","0","0"
"J1030","Done","2018-03-12T04:00:00+00:00","","2020-10-22T04:00:00+00:00","2021-09-01T04:00:00+00:00","ENTERGY TEXAS, INC.","Polk County","TX","DPP-2018-APR","South","GIA","Energy Resource Interconnection Service (ERIS)","Poco - Menard 138kV Line Tao","150","150","Solar","Photovoltaic","In Service","2023-01-23T05:00:00+00:00","150","0","150","0"
"J1031","Withdrawn","2018-03-12T04:00:00+00:00","2020-01-07T05:00:00+00:00","","2020-10-01T04:00:00+00:00","DUKE ENERGY INDIANA, LLC","Henry County","IN","DPP-2018-APR","Central","GIA","Network Resource Interconnection Service (NRIS)","Fall Creek - New Castle 138 kV Line Tap","150","150","Wind","Wind Turbine","Not Started","","0","0","0","0"
"J1032","Withdrawn","2018-03-12T04:00:00+00:00","2020-03-25T04:00:00+00:00","","2021-10-31T04:00:00+00:00","NORTHERN STATES POWER COMPANY","Wabasha County","MN","DPP-2018-APR","West","GIA","Network Resource Interconnection Service (NRIS)","Briggs Rd. - N. Rochester 345 kV Line Tap","50","50","Battery Storage","Battery Storage","Not Started","","0","0","0","0"
"J1033","Withdrawn","2018-03-12T04:00:00+00:00","2021-03-10T05:00:00+00:00","","2021-10-31T04:00:00+00:00","Ameren Missouri","Stoddard County","MO","DPP-2018-APR","Central","GIA","Network Resource Interconnection Service (NRIS)","Stoddard - Morely 161 kV Line Tap","50","50","Battery Storage","Battery Storage","Not Started","","50","50","0","0"
"J1034","Done","2018-03-12T04:00:00+00:00","","2021-10-12T04:00:00+00:00","2021-10-31T04:00:00+00:00","Ameren Missouri","Stoddard County","MO","DPP-2018-APR","Central","GIA","Network Resource Interconnection Service (NRIS)","Stoddard - Morley 161kV Line Tap","225","225","Solar","Photovoltaic","Under Construction","2024-06-01T04:00:00+00:00","225","225","225","225"
"J1035","Withdrawn","2018-03-12T04:00:00+00:00","2018-10-15T04:00:00+00:00","","2021-07-01T04:00:00+00:00","AMEREN ILLINOIS","Washington County","IL","DPP-2018-APR","Central","GIA","Network Resource Interconnection Service (NRIS)","Fayetteville - Marigold 138 kV Line Tap","75","75","Solar","Photovoltaic","Not Started","","0","0","0","0"
"J1036","Withdrawn","2018-03-12T04:00:00+00:00","2019-02-15T05:00:00+00:00","","2020-09-01T04:00:00+00:00","Xcel Energy","Cottonwood County","MN","DPP-2018-APR","West","GIA","Network Resource Interconnection Service (NRIS)","Lakefield Generation SW 345kV Substation","130","130","Solar","Photovoltaic","Not Started","","0","0","0","0"
"J1037","Withdrawn","2018-03-12T04:00:00+00:00","2019-08-15T04:00:00+00:00","","2021-10-01T04:00:00+00:00","GREAT RIVER ENERGY","Murray County","MN","DPP-2018-APR","West","GIA","Network Resource Interconnection Service (NRIS)","Moon Lake 69kV Substation","15","15","Battery Storage","Battery Storage","Not Started","","0","0","0","0"
"J1038","Withdrawn","2018-03-12T04:00:00+00:00","2020-03-25T04:00:00+00:00","","2020-09-01T04:00:00+00:00","OTTER TAIL POWER COMPANY","Grant County","MN","DPP-2018-APR","West","GIA","Energy Resource Interconnection Service (ERIS)","Grant Co. - E. Fergus Falls - Hoot Lake 115 kV Line Tap","32.5","32.5","Solar","Photovoltaic","Not Started","","0","0","0","0"
"J1039","Withdrawn","2018-03-12T04:00:00+00:00","2021-03-10T05:00:00+00:00","","2021-10-31T04:00:00+00:00","Ameren Missouri","Warren County","MO","DPP-2018-APR","Central","GIA","Network Resource Interconnection Service (NRIS)","Enon - Montogomery 345kV Line Tap","50","50","Battery Storage","Battery Storage","Not Started","","50","50","0","0"
"J1040","Done","2018-03-12T04:00:00+00:00","","2022-02-07T05:00:00+00:00","2021-09-01T04:00:00+00:00","MONTANA-DAKOTA UTILITIES CO.","McIntosh County","ND","DPP-2018-APR","West","GIA","Network Resource Interconnection Service (NRIS)","Wishek Junction 230 kV Substation","250","250","Wind","Wind Turbine","Under Construction","2023-05-14T04:00:00+00:00","250","250","250","250"
"J1041","Withdrawn","2018-03-12T04:00:00+00:00","2020-03-25T04:00:00+00:00","","2021-10-31T04:00:00+00:00","ITC MIDWEST","Jackson County","MN","DPP-2018-APR","West","GIA","Network Resource Interconnection Service (NRIS)","Brewster - Heron Lake 161 kV Line","20","20","Battery Storage","Battery Storage","Not Started","","0","0","0","0"
"J1042","Withdrawn","2018-03-09T05:00:00+00:00","2023-08-09T04:00:00+00:00","2021-05-18T04:00:00+00:00","2021-09-01T04:00:00+00:00","American Transmission Co. LLC","Walworth County","WI","DPP-2018-APR","East (ATC)","GIA","Network Resource Interconnection Service (NRIS)","North Lake Geneva 138kV Substation","200","200","Solar","Photovoltaic","Withdrawn","2023-09-15T04:00:00+00:00","200","200","180","180"
"J1043","Withdrawn","2018-03-12T04:00:00+00:00","2023-02-09T05:00:00+00:00","2021-05-03T04:00:00+00:00","2021-06-13T04:00:00+00:00","METC","Montcalm County","MI","DPP-2018-APR","East (ITC)","GIA","Network Resource Interconnection Service (NRIS)","Vergennes - Nelson Rd 345 kV Line Tap","374.4","374.4","Wind","Wind Turbine","Withdrawn","2024-05-31T04:00:00+00:00","374.4","374.4","374.4","374.4"
"J1044","Withdrawn","2018-03-12T04:00:00+00:00","2019-10-24T04:00:00+00:00","","2022-09-01T04:00:00+00:00","American Transmission Co. LLC","Walworth County","WI","DPP-2018-APR","East (ATC)","GIA","Network Resource Interconnection Service (NRIS)","North Lake Geneva - Sugar Creek - Burlington 138kV Line Tap","200","200","Solar","Photovoltaic","Not Started","","0","0","0","0"
"J1045","Done","2018-03-12T04:00:00+00:00","","2022-02-07T05:00:00+00:00","2021-10-31T04:00:00+00:00","NORTHERN STATES POWER COMPANY","Murray County","MN","DPP-2018-APR","West","GIA","Network Resource Interconnection Service (NRIS)","Fenton - Chanarambie 115kV Line Tap","20","20","Battery Storage","Battery Storage","Under Construction","2024-07-30T04:00:00+00:00","20","20","20","20"
"J1046","Withdrawn","2018-03-12T04:00:00+00:00","2019-11-21T05:00:00+00:00","","2020-10-31T04:00:00+00:00","ITC MIDWEST","Washtenaw County","MI","DPP-2018-APR","East (ITC)","GIA","Network Resource Interconnection Service (NRIS)","Majestic - Lemoyne 345 kV Line Tap","50","50","Battery Storage","Battery Storage","Not Started","","0","0","0","0"
"J1047","Withdrawn","2018-03-12T04:00:00+00:00","2019-10-24T04:00:00+00:00","","2022-09-01T04:00:00+00:00","American Transmission Co. LLC","Walworth County","WI","DPP-2018-APR","East (ATC)","GIA","Network Resource Interconnection Service (NRIS)","North Lake Geneva - Sugar Creek - Burlington 138kV Line Tap","200","200","Solar","Photovoltaic","Not Started","","0","0","0","0"
"J1048","Withdrawn","2018-03-12T04:00:00+00:00","2019-03-28T04:00:00+00:00","","2020-09-01T04:00:00+00:00","METC","Mecosta County,Montcalm County","MI","DPP-2018-APR","East (ITC)","GIA","Network Resource Interconnection Service (NRIS)","Vergennes - Nelson Road 345kV Line Tap","250","250","Wind","Wind Turbine","Not Started","","0","0","0","0"
"J1049","Withdrawn","2018-03-12T04:00:00+00:00","2019-08-29T04:00:00+00:00","","2022-09-01T04:00:00+00:00","COOPERATIVE ENERGY","Forrest County","MS","DPP-2018-APR","South","GIA","Network Resource Interconnection Service (NRIS)","Purvis 161 kV Substation","250","250","Solar","Photovoltaic","Not Started","","0","0","0","0"
"J1050","Done","2018-03-12T04:00:00+00:00","","2022-01-17T05:00:00+00:00","2022-06-03T04:00:00+00:00","ITC MIDWEST","Boone County,Hamilton County","IA","DPP-2018-APR","West","GIA","Network Resource Interconnection Service (NRIS)","Doud Tap 161 kV Substation","225","225","Wind","Wind Turbine","In Service","2022-07-01T04:00:00+00:00","225","225","225","225"
"J1051","Withdrawn","2018-03-12T04:00:00+00:00","2020-05-19T04:00:00+00:00","","2021-10-31T04:00:00+00:00","American Transmission Co. LLC","Jefferson County","WI","DPP-2018-APR","East (ATC)","GIA","Network Resource Interconnection Service (NRIS)","Concord 138kV Substation","50","50","Battery Storage","Battery Storage","Not Started","","50","50","0","0"
"J1052","Withdrawn","2018-03-12T04:00:00+00:00","2019-03-27T04:00:00+00:00","","2020-09-01T04:00:00+00:00","METC","Jackson County","MI","DPP-2018-APR","East (ITC)","GIA","Network Resource Interconnection Service (NRIS)","Beecher - Seamless East 138kV Line Tap","100","100","Solar","Photovoltaic","Not Started","","0","0","0","0"
"J1053","Withdrawn","2018-03-12T04:00:00+00:00","2020-05-19T04:00:00+00:00","","2021-10-31T04:00:00+00:00","American Transmission Co. LLC","Jefferson County","WI","DPP-2018-APR","East (ATC)","GIA","Network Resource Interconnection Service (NRIS)","Concord SW YD 138 kV Substation","300","300","Solar","Photovoltaic","Not Started","","200","200","0","0"
"J1054","Withdrawn","2018-03-12T04:00:00+00:00","2020-03-25T04:00:00+00:00","","2021-10-31T04:00:00+00:00","NORTHERN STATES POWER COMPANY","Goodhue County","MN","DPP-2018-APR","West","GIA","Network Resource Interconnection Service (NRIS)","Cannon Falls 115kV Substation","30","30","Battery Storage","Battery Storage","Not Started","","0","0","0","0"
"J1055","Done","2018-03-12T04:00:00+00:00","","2021-11-13T05:00:00+00:00","2020-09-30T04:00:00+00:00","AMEREN ILLINOIS","Mason County","IL","DPP-2018-APR","Central","GIA","Network Resource Interconnection Service (NRIS)","Mason Substation 138 kV Bus","144","144","Wind","Wind Turbine","In Service","2020-10-15T04:00:00+00:00","144","144","144","144"
"J1056","Withdrawn","2018-03-12T04:00:00+00:00","2019-11-21T05:00:00+00:00","","2020-10-31T04:00:00+00:00","ITC MIDWEST","Monroe County","MI","DPP-2018-APR","East (ITC)","GIA","Network Resource Interconnection Service (NRIS)","Lulu - Monroe 345 kV Line Tap","200","200","Wind","Wind Turbine","Not Started","","0","0","0","0"
"J1057","Withdrawn","2018-03-12T04:00:00+00:00","2020-03-25T04:00:00+00:00","","2021-10-31T04:00:00+00:00","ITC MIDWEST","Jackson County","MN","DPP-2018-APR","West","GIA","Network Resource Interconnection Service (NRIS)","Brewster - Heron Lake 161 kV Line","125","125","Solar","Photovoltaic","Not Started","","0","0","0","0"
"J1058","Done","2018-03-12T04:00:00+00:00","","2021-10-12T04:00:00+00:00","2021-10-31T04:00:00+00:00","NORTHERN INDIANA PUBLIC SERVICE COMPANY LLC","Lake County","IN","DPP-2018-APR","Central","GIA","Network Resource Interconnection Service (NRIS)","Schahfer-St. John 345kV Line Tap","300","300","Solar","Photovoltaic","Under Construction","2024-06-01T04:00:00+00:00","200","200","200","200"
"J1059","Withdrawn","2018-03-12T04:00:00+00:00","2020-01-07T05:00:00+00:00","","2021-10-31T04:00:00+00:00","Ameren Missouri","Cape Girardeau County","MO","DPP-2018-APR","Central","GIA","Network Resource Interconnection Service (NRIS)","Kelso - Lutesville 345 kV Line Tap","300","300","Solar","Photovoltaic","Not Started","","0","0","0","0"
"J1060","Done","2018-03-12T04:00:00+00:00","","2020-08-19T04:00:00+00:00","2021-10-31T04:00:00+00:00","ENTERGY ARKANSAS, LLC","St. Francis County","AR","DPP-2018-APR","South","GIA","Network Resource Interconnection Service (NRIS)","West Memphis - Keo 500 kV Line Tap","500","500","Solar","Photovoltaic","Under Construction","2023-05-01T04:00:00+00:00","500","500","450","400"
"J1061","Withdrawn","2018-03-12T04:00:00+00:00","2020-03-25T04:00:00+00:00","","2021-10-31T04:00:00+00:00","NORTHERN STATES POWER COMPANY","Wabasha County","MN","DPP-2018-APR","West","GIA","Network Resource Interconnection Service (NRIS)","Briggs Rd - N. Rochester 345 kV Line Tap","300","300","Solar","Photovoltaic","Not Started","","0","0","0","0"
"J1062","Done","2018-03-12T04:00:00+00:00","","2021-04-23T04:00:00+00:00","2021-10-31T04:00:00+00:00","ITC MIDWEST","Washtenaw County","MI","DPP-2018-APR","East (ITC)","GIA","Network Resource Interconnection Service (NRIS)","Majestic - Lemoyne 345 kV Line Tap","200","200","Solar","Photovoltaic","Not Started","2023-06-01T04:00:00+00:00","150","150","150","150"
"J1063","Done","2018-03-12T04:00:00+00:00","","2022-03-09T05:00:00+00:00","2022-10-31T04:00:00+00:00","Duke Energy","Clinton County","IN","DPP-2018-APR","Central","GIA","Network Resource Interconnection Service (NRIS)","New London - Frankfort 230kV Line Tap","195","195","Solar","Photovoltaic","Under Construction","2022-08-01T04:00:00+00:00","195","195","195","195"
"J1064","Withdrawn","2018-03-12T04:00:00+00:00","2019-11-21T05:00:00+00:00","","2020-10-31T04:00:00+00:00","METC","Ionia County","MI","DPP-2018-APR","East (ITC)","GIA","Network Resource Interconnection Service (NRIS)","Marquette - Vergennes 138 kV Line Tap","200","200","Wind","Wind Turbine","Not Started","","0","0","0","0"
"J1065","Withdrawn","2018-03-12T04:00:00+00:00","2019-11-21T05:00:00+00:00","","2020-10-31T04:00:00+00:00","METC","Gratiot County","MI","DPP-2018-APR","East (ITC)","GIA","Network Resource Interconnection Service (NRIS)","Alma - Vestaburg 138kV Line Tap","200","200","Wind","Wind Turbine","Not Started","","0","0","0","0"
"J1066","Withdrawn","2018-03-12T04:00:00+00:00","2018-05-17T04:00:00+00:00","","2019-07-31T04:00:00+00:00","PRAIRIE POWER, INC.","Pike County","IL","DPP-2018-APR","Central","GIA","External Network Resource Interconnection Service (E-NRIS)","El Dara Junction - Pittsfield 69 kV Line Tap","44","44","Wind","Wind Turbine","Not Started","","0","0","0","0"
"J1067","Done","2018-03-12T04:00:00+00:00","","2021-10-12T04:00:00+00:00","2022-09-01T04:00:00+00:00","NORTHERN INDIANA PUBLIC SERVICE COMPANY LLC","Jasper County,Pulaski County","IN","DPP-2018-APR","Central","GIA","Network Resource Interconnection Service (NRIS)","Reynolds - Burr Oak 345kV Line","240","240","Solar","Photovoltaic","Under Construction","2023-10-20T04:00:00+00:00","240","240","240","240"
"J1068","Withdrawn","2018-03-12T04:00:00+00:00","2019-11-21T05:00:00+00:00","","2020-10-31T04:00:00+00:00","ITC MIDWEST","Washtenaw County","MI","DPP-2018-APR","East (ITC)","GIA","Network Resource Interconnection Service (NRIS)","Dorset 120 kV Substation","200","200","Wind","Wind Turbine","Not Started","","0","0","0","0"
"J1069","Done","2018-03-12T04:00:00+00:00","","2021-10-12T04:00:00+00:00","2022-09-01T04:00:00+00:00","NORTHERN INDIANA PUBLIC SERVICE COMPANY LLC","Jasper County,Pulaski County","IN","DPP-2018-APR","Central","GIA","Network Resource Interconnection Service (NRIS)","Reynolds 345kV Substation","200","200","Wind","Wind Turbine","Under Construction","2023-04-20T04:00:00+00:00","200","200","200","200"
"J1070","Withdrawn","2018-03-12T04:00:00+00:00","2019-08-29T04:00:00+00:00","","2021-09-15T04:00:00+00:00","ENTERGY MISSISSIPPI, LLC","Washington County","MS","DPP-2018-APR","South","GIA","Network Resource Interconnection Service (NRIS)","SE Greenville 115kV Substation","100","100","Solar","Photovoltaic","Not Started","","0","0","0","0"
"J1071","Done","2018-03-12T04:00:00+00:00","","2021-03-26T04:00:00+00:00","2021-01-20T05:00:00+00:00","METC","Oceana County","MI","DPP-2018-APR","East (ITC)","GIA","Network Resource Interconnection Service (NRIS)","Donaldson 138 kV Substation","100","100","Solar","Photovoltaic","Under Construction","2021-01-15T05:00:00+00:00","100","100","100","100"
"J1072","Done","2018-03-12T04:00:00+00:00","","2021-06-15T04:00:00+00:00","2020-09-01T04:00:00+00:00","NORTHERN STATES POWER COMPANY","Mower County","MN","DPP-2018-APR","West","GIA","Network Resource Interconnection Service (NRIS)","Adams 345 kV Substation","150","150","Solar","Photovoltaic","Under Construction","2023-08-01T04:00:00+00:00","150","150","150","150"
"J1073","Withdrawn","2018-03-12T04:00:00+00:00","2019-08-29T04:00:00+00:00","","2021-09-15T04:00:00+00:00","ENTERGY LOUISIANA, LLC","Iberville Parish","LA","DPP-2018-APR","South","GIA","Network Resource Interconnection Service (NRIS)","Webre 500 kV Substation","300","300","Solar","Photovoltaic","Not Started","","0","0","0","0"
"J1074","Withdrawn","2018-03-12T04:00:00+00:00","2023-10-27T04:00:00+00:00","","2021-01-02T05:00:00+00:00","Southern Indiana Gas & Electric Company d/b/a Vectren Energy Delivery of Indiana, Inc.","Gibson County","IN","DPP-2018-APR","Central","GIA","Network Resource Interconnection Service (NRIS)","Francisco 138 kV sub","200","200","Solar","Photovoltaic","Withdrawn","2022-11-15T05:00:00+00:00","200","200","200","200"
"J1075","Withdrawn","2018-03-12T04:00:00+00:00","2018-11-01T04:00:00+00:00","","2020-09-01T04:00:00+00:00","METC","Cass County","MI","DPP-2018-APR","East (ITC)","GIA","Network Resource Interconnection Service (NRIS)","Argenta - Weeds Lake - Hiple 345kV Line Tap","350","350","Wind","Wind Turbine","Not Started","","0","0","0","0"
"J1076","Done","2018-03-12T04:00:00+00:00","","2021-01-06T05:00:00+00:00","2021-09-15T04:00:00+00:00","ENTERGY LOUISIANA, LLC","St. James Parish","LA","DPP-2018-APR","South","GIA","Network Resource Interconnection Service (NRIS)","Vacherie Sub 230 kV Substation","200","200","Solar","Photovoltaic","Under Construction","2022-09-01T04:00:00+00:00","200","200","200","200"
